Rc491	VDDHV#13824	VDDHV#177	23.4,-19.25 	23.4,-14.8
Rc495	VDDHV#177	VDDHV#8094	24.84,-9.5495 	24.84,-14.8
Rc496	VDDHV#8094	VDDHV#13830	24.84,-14.8 	24.84,-19.25
Rc500	VDDHV#177	VDDHV#13834	26.28,-14.8 	26.28,-19.25
Rc502	VDDHV#177	VDDHV#8089	27.72,-9.5495 	27.72,-14.8
Rc503	VDDHV#8089	VDDHV#13837	27.72,-14.8 	27.72,-19.25
Rc505	OUT#14334	OUT#8454	34.48,1.35 	34.48,-3.1
Rc506	OUT#8454	OUT#8455	34.48,-3.1 	34.48,-8.3495
Rc513	OUT#8455	OUT#8462	33.04,-8.3495 	33.04,-3.1
Rc514	OUT#8462	OUT#14344	33.04,-3.1 	33.04,1.35
Rc515	OUT#8455	OUT#3	31.6,-8.3495 	31.6,-3.1
Rc516	OUT#3	OUT#14346	31.6,-3.1 	31.6,1.35
Rc517	OUT#8455	OUT#8467	30.16,-8.3495 	30.16,-3.1
Rc518	OUT#8467	OUT#14348	30.16,-3.1 	30.16,1.35
Rc519	OUT#14349	OUT#8470	34.48,-10.35 	34.48,-14.8
Rc520	OUT#8470	OUT#8471	34.48,-14.8 	34.48,-20.0495
Rc527	OUT#8471	OUT#8478	33.04,-20.0495 	33.04,-14.8
Rc528	OUT#8478	OUT#14359	33.04,-14.8 	33.04,-10.35
Rc529	OUT#8471	OUT#3	31.6,-20.0495 	31.6,-14.8
Rc530	OUT#3	OUT#14361	31.6,-14.8 	31.6,-10.35
Rc531	OUT#8471	OUT#8483	30.16,-20.0495 	30.16,-14.8
Rc532	OUT#8483	OUT#14363	30.16,-14.8 	30.16,-10.35
Rc533	VDDHV#13839	VDDHV#177	29.44,-7.55 	29.44,-3.1
Rc537	VDDHV#177	VDDHV#8111	30.88,2.15 	30.88,-3.1
Rc538	VDDHV#8111	VDDHV#13845	30.88,-3.1 	30.88,-7.55
Rc542	VDDHV#177	VDDHV#13849	32.32,-3.1 	32.32,-7.55
Rc544	VDDHV#177	VDDHV#8106	33.76,2.15 	33.76,-3.1
Rc545	VDDHV#8106	VDDHV#13852	33.76,-3.1 	33.76,-7.55
Rc547	VDDHV#13854	VDDHV#177	29.44,-19.25 	29.44,-14.8
Rc551	VDDHV#177	VDDHV#8128	30.88,-9.5495 	30.88,-14.8
Rc552	VDDHV#8128	VDDHV#13860	30.88,-14.8 	30.88,-19.25
Rc556	VDDHV#177	VDDHV#13864	32.32,-14.8 	32.32,-19.25
Rc558	VDDHV#177	VDDHV#8123	33.76,-9.5495 	33.76,-14.8
Rc559	VDDHV#8123	VDDHV#13867	33.76,-14.8 	33.76,-19.25
Rc561	OUT#14364	OUT#3	40.52,1.35 	40.52,-3.1
Rc562	OUT#3	OUT#8488	40.52,-3.1 	40.52,-8.3495
Rc569	OUT#8488	OUT#8495	39.08,-8.3495 	39.08,-3.1
Rc570	OUT#8495	OUT#14374	39.08,-3.1 	39.08,1.35
Rc571	OUT#8488	OUT#3	37.64,-8.3495 	37.64,-3.1
Rc572	OUT#3	OUT#14376	37.64,-3.1 	37.64,1.35
Rc573	OUT#8488	OUT#8500	36.2,-8.3495 	36.2,-3.1
Rc574	OUT#8500	OUT#14378	36.2,-3.1 	36.2,1.35
Rc575	OUT#14379	OUT#3	40.52,-10.35 	40.52,-14.8
Rc576	OUT#3	OUT#8505	40.52,-14.8 	40.52,-20.0495
Rc583	OUT#8505	OUT#8512	39.08,-20.0495 	39.08,-14.8
Rc584	OUT#8512	OUT#14389	39.08,-14.8 	39.08,-10.35
Rc585	OUT#8505	OUT#3	37.64,-20.0495 	37.64,-14.8
Rc586	OUT#3	OUT#14391	37.64,-14.8 	37.64,-10.35
Rc587	OUT#8505	OUT#8517	36.2,-20.0495 	36.2,-14.8
Rc588	OUT#8517	OUT#14393	36.2,-14.8 	36.2,-10.35
Rc589	VDDHV#13869	VDDHV#177	35.48,-7.55 	35.48,-3.1
Rc593	VDDHV#177	VDDHV#8145	36.92,2.15 	36.92,-3.1
Rc594	VDDHV#8145	VDDHV#13875	36.92,-3.1 	36.92,-7.55
Rc598	VDDHV#177	VDDHV#13879	38.36,-3.1 	38.36,-7.55
Rc600	VDDHV#177	VDDHV#8140	39.8,2.15 	39.8,-3.1
Rc601	VDDHV#8140	VDDHV#13882	39.8,-3.1 	39.8,-7.55
Rc603	VDDHV#13884	VDDHV#177	35.48,-19.25 	35.48,-14.8
Rc607	VDDHV#177	VDDHV#8162	36.92,-9.5495 	36.92,-14.8
Rc608	VDDHV#8162	VDDHV#13890	36.92,-14.8 	36.92,-19.25
Rc612	VDDHV#177	VDDHV#13894	38.36,-14.8 	38.36,-19.25
Rc614	VDDHV#177	VDDHV#8157	39.8,-9.5495 	39.8,-14.8
Rc615	VDDHV#8157	VDDHV#13897	39.8,-14.8 	39.8,-19.25
Rc617	OUT#14394	OUT#3	46.56,1.35 	46.56,-3.1
Rc618	OUT#3	OUT#8522	46.56,-3.1 	46.56,-8.3495
Rc625	OUT#8522	OUT#3	45.12,-8.3495 	45.12,-3.1
Rc626	OUT#3	OUT#14404	45.12,-3.1 	45.12,1.35
Rc627	OUT#8522	OUT#3	43.68,-8.3495 	43.68,-3.1
Rc628	OUT#3	OUT#14406	43.68,-3.1 	43.68,1.35
Rc629	OUT#8522	OUT#3	42.24,-8.3495 	42.24,-3.1
Rc630	OUT#3	OUT#14408	42.24,-3.1 	42.24,1.35
Rc631	OUT#14409	OUT#3	46.56,-10.35 	46.56,-14.8
Rc632	OUT#3	OUT#8541	46.56,-14.8 	46.56,-20.0495
Rc639	OUT#8541	OUT#3	45.12,-20.0495 	45.12,-14.8
Rc640	OUT#3	OUT#14419	45.12,-14.8 	45.12,-10.35
Rc641	OUT#8541	OUT#3	43.68,-20.0495 	43.68,-14.8
Rc642	OUT#3	OUT#14421	43.68,-14.8 	43.68,-10.35
Rc643	OUT#8541	OUT#3	42.24,-20.0495 	42.24,-14.8
Rc644	OUT#3	OUT#14423	42.24,-14.8 	42.24,-10.35
Rc645	VDDHV#13899	VDDHV#177	41.52,-7.55 	41.52,-3.1
Rc650	VDDHV#177	VDDHV#13905	42.96,-3.1 	42.96,-7.55
Rc654	VDDHV#177	VDDHV#13909	44.4,-3.1 	44.4,-7.55
Rc657	VDDHV#177	VDDHV#13912	45.84,-3.1 	45.84,-7.55
Rc659	VDDHV#13914	VDDHV#177	41.52,-19.25 	41.52,-14.8
Rc664	VDDHV#177	VDDHV#13920	42.96,-14.8 	42.96,-19.25
Rc668	VDDHV#177	VDDHV#13924	44.4,-14.8 	44.4,-19.25
Rc671	VDDHV#177	VDDHV#13927	45.84,-14.8 	45.84,-19.25
Rc673	GNDHV#3149	GNDHV#332	50.185,73.61 	45.735,73.61
Rc682	GNDHV#332	GNDHV#3159	45.735,72.17 	50.185,72.17
Rc684	GNDHV#332	GNDHV#3161	45.735,70.73 	50.185,70.73
Rc686	GNDHV#332	GNDHV#3163	45.735,69.29 	50.185,69.29
Rc687	GNDHV#3164	GNDHV#330	50.185,67.57 	45.735,67.57
Rc696	GNDHV#330	GNDHV#3174	45.735,66.13 	50.185,66.13
Rc698	GNDHV#330	GNDHV#3176	45.735,64.69 	50.185,64.69
Rc700	GNDHV#330	GNDHV#3178	45.735,63.25 	50.185,63.25
Rc701	GNDHV#3179	GNDHV#328	50.185,61.53 	45.735,61.53
Rc710	GNDHV#328	GNDHV#3189	45.735,60.09 	50.185,60.09
Rc712	GNDHV#328	GNDHV#3191	45.735,58.65 	50.185,58.65
Rc714	GNDHV#328	GNDHV#3193	45.735,57.21 	50.185,57.21
Rc715	GNDHV#3194	GNDHV#326	50.185,55.49 	45.735,55.49
Rc724	GNDHV#326	GNDHV#3204	45.735,54.05 	50.185,54.05
Rc726	GNDHV#326	GNDHV#3206	45.735,52.61 	50.185,52.61
Rc728	GNDHV#326	GNDHV#3208	45.735,51.17 	50.185,51.17
Rc729	GNDHV#3209	GNDHV#324	50.185,49.45 	45.735,49.45
